author,content,description,from_json,publishedAt,source.id,source.name,title,url
"ANTHONY IZAGUIRRE Associated Press, JAKE OFFENHARTZ Associated Press","NEW YORK -- NEW YORK (AP) New York City Mayor Eric Adams will endorse Andrew Cuomo in the citys mayoral election, a spokesperson said Thursday, throwing his weight behind a bitter rival he recently c…",New York City Mayor Eric Adams is set to endorse former Gov. Andrew Cuomo in the city’s mayoral race,Nov18_Center_pre.json,2025-10-23T17:06:07Z,abc-news,ABC News,Eric Adams to endorse once bitter rival Andrew Cuomo in New York City's mayoral race,https://abcnews.go.com/Politics/wireStory/eric-adams-endorse-bitter-rival-andrew-cuomo-new-126802982
PHILIP MARCELO Associated Press,NEW YORK -- Polling places opened Saturday for the start of in-person voting for two of the year's most closely watched elections: The New York City mayor's race and the contest to pick New Jersey's …,Polling places open Saturday for in-person voting in two of the year’s most closely watched elections: The New York City mayor’s race and the contest to pick New Jersey’s next governor,Nov18_Center_pre.json,2025-10-25T13:42:24Z,abc-news,ABC News,Early voting begins in NYC mayor's race and contest to pick NJ's next governor,https://abcnews.go.com/Politics/wireStory/early-voting-begins-new-york-city-mayors-race-126859817
"ANTHONY IZAGUIRRE Associated Press, JILL COLVIN Associated Press","NEW YORK -- NEW YORK (AP) New York City's mayoral candidates are set to meet for their final debate Wednesday night, with Democrat Zohran Mamdani looking to stay in control of a race increasingly see…",New York City’s mayoral candidates are set to meet for their final debate,Nov18_Center_pre.json,2025-10-22T05:01:54Z,abc-news,ABC News,Mamdani aims to keep control while Cuomo angles for GOP votes ahead of final NYC mayoral debate,https://abcnews.go.com/US/wireStory/mamdani-aims-control-cuomo-angles-gop-votes-ahead-126745551
JAKE OFFENHARTZ Associated Press,"NEW YORK -- In 1977, at the tail end of another bruising battle for New York City mayor, Mario Cuomo publicly spoke up against bigoted remarks leveled at his opponent. Almost 50 years later, his son …","As New York City's mayor's race enters its final stretch, there are echoes and contrasts to another famously bitter city election in 1977",Nov18_Center_pre.json,2025-10-29T15:02:06Z,abc-news,ABC News,"Cuomo hasn't condemned bigoted attacks on Mamdani. In 1977 race, his father took another approach",https://abcnews.go.com/Politics/wireStory/cuomo-condemned-bigoted-attacks-mamdani-1977-race-father-126980041
STEVE KARNOWSKI Associated Press,"MINNEAPOLIS -- Minneapolis Democratic Mayor Jacob Frey faces a steep challenge in Tuesday's election from a democratic socialist, a race that highlights different visions of how to govern in a libera…",Minneapolis Mayor Jacob Frey faces a challenge in Tuesday’s election from a democratic socialist,Nov18_Center_pre.json,2025-11-04T05:18:08Z,abc-news,ABC News,Minneapolis Mayor Jacob Frey seeks to fend off democratic socialist's challenge in a crowded race,https://abcnews.go.com/Politics/wireStory/minneapolis-mayor-jacob-frey-seeks-fend-off-democratic-127159317
JAKE OFFENHARTZ Associated Press,"NEW YORK -- NEW YORK (AP) An immigration enforcement operation that sparked spontaneous protests on Manhattan's Canal Street led to the arrests of 14 people, federal authorities said Wednesday, inclu…","Federal authorities say an immigration enforcement operation that sparked spontaneous protests on Manhattan’s Canal Street led to the arrests of 14 people, including several demonstrators accused of obstructing federal agents",Nov18_Center_pre.json,2025-10-22T16:46:31Z,abc-news,ABC News,Feds say 14 arrested during chaotic immigration sweep that sparked protests on NYC's Canal Street,https://abcnews.go.com/US/wireStory/feds-14-arrested-chaotic-immigration-sweep-sparked-protests-126764790
,"The following is the transcript of the interview with House Minority Leader Hakeem Jeffries, Democrat of New York, that aired on ""Face the Nation with Margaret Brennan"" on Oct. 26, 2025. MARGARET BR…","The following is the transcript of the interview with House Minority Leader Hakeem Jeffries, Democrat of New York, that aired on ""Face the Nation with Margaret Brennan"" on Oct. 26, 2025.",Nov18_Center_pre.json,2025-10-26T13:48:25Z,cbs-news,CBS News,"Transcript: House Minority Leader Hakeem Jeffries on ""Face the Nation with Margaret Brennan,"" Oct. 26, 2025",https://www.cbsnews.com/news/hakeem-jeffries-democratic-leader-face-the-nation-transcript-10-26-2025/
"Zac Anderson, USA TODAY","The Democratic candidates for governor in New Jersey and Virginia are making opposition to Donald Trump central to their pitches. In California, an ad urges voters to ""stick it to Trump,"" while New Y…",President Trump isn't on the ballot in 2025. But he's still on voters' minds ahead of the first general election since his second term win a year ago.,Nov18_Center_pre.json,2025-10-25T09:19:20Z,usa-today,USA Today,‘Stick it to Trump’: Democrats spotlight president in 2025 races in bid for midterms mojo,https://www.usatoday.com/story/news/politics/2025/10/25/democrats-trump-2025-election-virginia-new-jersey-california/86706413007/
"STEVE PEOPLES Associated Press, WILL WEISSERT Associated Press","WASHINGTON -- Tuesday marks the nations first major Election Day since President Donald Trump returned to the White House, and his leadership and policies dominated the debate in almost every race ev…",Voters head to polls Tuesday in America’s first major election day since President Donald Trump returned to the White House,Nov18_Center_pre.json,2025-11-04T11:17:27Z,abc-news,ABC News,"Trump's strength, Democrats' message and the shutdown effect. What to watch on Election Day 2025",https://abcnews.go.com/Politics/wireStory/trumps-strength-democrats-message-shutdown-effect-watch-election-127159112
Norah O'Donnell,"It's been five years since President Trump appeared for an interview on 60 Minutes. A lot has happened since then, not least of which was his political comeback and triumphant return to the White Hou…","Watch as President Trump discusses testing nuclear weapons, U.S.-China relations, Israel, the government shutdown, immigration, tariffs, and whether he'll try to stay in the White House beyond 2028.",Nov18_Center_pre.json,2025-11-03T00:34:39Z,cbs-news,CBS News,"Trump on nuclear testing, the government shutdown, immigration and tariffs",https://www.cbsnews.com/news/trump-on-nuclear-testing-government-shutdown-immigration-tariffs-china-60-minutes-transcript/
JAKE OFFENHARTZ Associated Press,"NEW YORK -- For more than a decade, a Long Island wine importer named Bill DeBlasio has been receiving emails meant for another man with a near-identical name: former New York City Mayor Bill de Blas…",A Long Island wine importer named Bill DeBlasio inadvertently grabbed international headlines this week after he responded to an email meant for another man with a similar name: former New York City Mayor Bill de Blasio,Nov18_Center_pre.json,2025-10-30T20:13:41Z,abc-news,ABC News,"Meet Bill DeBlasio, the man a British newspaper confused with ex-NYC Mayor Bill de Blasio",https://abcnews.go.com/Politics/wireStory/meet-bill-deblasio-man-british-newspaper-confused-nyc-127035306
ROBERT YOON Associated Press,"WASHINGTON -- One year after Donald Trump retook the White House and set into motion a dramatic expansion of executive power, the Republican president figures prominently in state and local elections…","Donald Trump features prominently in state and local elections happening Tuesday, a year after he retook the White House",Nov18_Center_pre.json,2025-11-03T06:45:51Z,abc-news,ABC News,What's on the ballot in the first general election since Donald Trump became president,https://abcnews.go.com/Politics/wireStory/ballot-general-election-donald-trump-president-127122974
JAKE OFFENHARTZ Associated Press,NEW YORK -- NEW YORK (AP) An immigration enforcement sweep targeting vendors on Manhattans famed Canal Street turned chaotic on Tuesday after droves of angry New Yorkers surrounded federal agents and…,"An immigration enforcement sweep targeting vendors on New York City’s famed Canal Street turned chaotic Tuesday afternoon, as bystanders and protesters confronted federal agents and tried to block their path",Nov18_Center_pre.json,2025-10-22T04:29:44Z,abc-news,ABC News,Immigration agents conducting sweep on NYC's famed Canal Street confronted by protesters,https://abcnews.go.com/US/wireStory/immigration-agents-conducting-sweep-nycs-famed-canal-street-126738556
ROBERT YOON Associated Press,"WASHINGTON -- One year after Donald Trump retook the White House and set into motion a dramatic expansion of executive power, the Republican president figures prominently in state and local elections…","Donald Trump features prominently in state and local elections happening Tuesday, a year after he retook the White House",Nov18_Center_pre.json,2025-11-03T06:45:50Z,abc-news,ABC News,What's on the ballot in the first general election since Donald Trump became president,https://abcnews.go.com/US/wireStory/ballot-general-election-donald-trump-president-127122972
,"On this ""Face the Nation with Margaret Brennan"" broadcast, moderated by Margaret Brennan: Treasury Secretary Scott Bessent House Minority Leader Hakeem Jeffries, Democrat of New Yo…","On this ""Face the Nation with Margaret Brennan"" broadcast, Treasury Secretary Scott Bessent and House Minority Hakeem Jeffries join Margaret Brennan.",Nov18_Center_pre.json,2025-10-26T18:36:50Z,cbs-news,CBS News,"Full transcript of ""Face the Nation with Margaret Brennan,"" Oct. 26, 2025",https://www.cbsnews.com/news/face-the-nation-full-transcript-10-26-2025/
,"Editor's note: On October 31, 2025, correspondent Norah O'Donnell spoke with President Donald J. Trump at Mar-a-Lago in Palm Beach, FL, and this is a transcript of that conversation. They started by …",Read the full transcript of Norah O'Donnell's interview with President Trump here.,Nov18_Center_pre.json,2025-11-03T00:32:49Z,cbs-news,CBS News,Read the full transcript of 60 Minutes' interview with President Trump,https://www.cbsnews.com/news/read-full-transcript-norah-odonnell-60-minutes-interview-with-president-trump/
Meredith Deliso,"Democratic frontrunner for New York City mayor Zohran Mamdani said he would be a leader for ""every New Yorker"" and try not to ""pit people against each other,"" during a wide-ranging interview with ""AB…","NYC mayoral candidate Zohran Mamdani on campaign rhetoric, affordability proposalsgo.com",Nov18_Center_pre.json,2025-10-28T00:44:13Z,abc-news,ABC News,"NYC mayoral candidate Zohran Mamdani on campaign rhetoric, affordability proposals",https://abcnews.go.com/Politics/nyc-mayoral-candidate-zohran-mamdani-campaign-rhetoric-affordability/story?id=126902551
Mark Prussin,"President Trump said New York City voters ""really have no choice"" and ""must vote"" for former Gov. Andrew Cuomo in Tuesday's mayoral election. ""Whether you personally like Andrew Cuomo or not, you …",The president urged New York City voters to elect former Gov. Andrew Cuomo in Tuesday's mayoral election and threatened to withhold funding if Zohran Mamdani wins.,Nov18_Center_pre.json,2025-11-03T23:29:00Z,cbs-news,CBS News,Trump tells New Yorkers to vote for Andrew Cuomo in NYC mayor's race,https://www.cbsnews.com/newyork/news/trump-cuomo-nyc-mayor-race/
Renee Anderson,"Andrew Cuomo spoke to his supporters Tuesday night after Zohran Mamdani was projected the winner of the New York City mayor's race. Cuomo called his supporters ""New York patriots."" ""This campaign…",The 34-year-old Democratic socialist defeated Republican candidate Curtis Sliwa and former Gov. Andrew Cuomo.,Nov18_Center_pre.json,2025-11-04T22:43:27Z,cbs-news,CBS News,"Zohran Mamdani wins NYC mayor's race, CBS News projects",https://www.cbsnews.com/newyork/live-updates/nyc-election-results-2025/
Benjamin Siegel,"Former President Barack Obama called New York City Democratic mayoral candidate Zohran Mamdani on Saturday to praise his campaign and offer to be a ""sounding board"" in the future, two sources confirm…","Obama calls Mamdani, offers help as 'sounding board' in the future: Sourcesgo.com",Nov18_Center_pre.json,2025-11-02T01:55:51Z,abc-news,ABC News,"Obama calls Mamdani, offers help as 'sounding board' in the future: Sources",https://abcnews.go.com/Politics/obama-calls-mamdani-offers-sounding-board-future-sources/story?id=127099658
Halle Troadec,"New York City Democratic mayoral nominee Zohran Mamdani got emotional Friday as he pushed back on what he said were anti-Islamic comments being made to attack his campaign. The state assemblyman, wh…","Mamdani, in emotional speech, decries Islamophobia in New York City mayor's racego.com",Nov18_Center_pre.json,2025-10-24T23:07:54Z,abc-news,ABC News,"Mamdani, in emotional speech, decries Islamophobia in New York City mayor's race",https://abcnews.go.com/Politics/mamdani-emotional-speech-decries-islamophobia-new-york-city/story?id=126846079
Kendall Wright,"House Minority Leader Hakeem Jeffries has not endorsed New York Assemblyman Zohran Mamdani, the frontrunner in the New York City mayoral race with the election less than three weeks away, but says he…",House Democratic leader asked why he hasn't backed NYC mayoral candidate.,Nov18_Center_pre.json,2025-10-19T15:32:54Z,abc-news,ABC News,"Jeffries having 'conversations' with Mamdani, but no endorsement",https://abcnews.go.com/Politics/jeffries-conversations-mamdani-endorsement/story?id=126658300
Oren Oppenheim,"Almost 300,000 people have voted early in New York City's 2025 election -- which features a closely-watched mayor's race that has grabbed headlines nationwide -- as of the end of the fourth day of ea…",NYC sees massive increase in early voting in mayoral election compared to 2021go.com,Nov18_Center_pre.json,2025-10-29T19:32:26Z,abc-news,ABC News,NYC sees massive increase in early voting in mayoral election compared to 2021,https://abcnews.go.com/Politics/nyc-sees-massive-increase-early-voting-mayoral-election/story?id=126989610
"John Binder, John Binder","Democrat candidate for New York City mayor Zohran Mamdani, a self-proclaimed socialist, is vilifying Immigration and Customs Enforcement (ICE) agents while vowing to make the city’s sanctuary policy …","Democrat candidate for New York City mayor Zohran Mamdani, a self-proclaimed socialist, is vilifying ICE agents. The post Zohran Mamdani Calls ICE ‘Reckless Entity’ in Vow to Make New York City’s Sanctuary Policy More Extreme appeared first on Breitbart.",Nov18_Right_pre.json,2025-10-23T15:13:42Z,breitbart-news,Breitbart News,Zohran Mamdani Calls ICE 'Reckless Entity' in Vow to Make New York City's Sanctuary Policy More Extreme,https://www.breitbart.com/politics/2025/10/23/zohran-mamdani-calls-ice-reckless-entity-vow-make-new-york-citys-sanctuary-policy-more-extreme/
"Jasmyn Jordan, Jasmyn Jordan","Socialists have succeeded in capturing a major American political party, as House Minority Leader Hakeem Jeffries (D-NY) endorsed democratic socialist New York City mayoral nominee Zohran Mamdani Fri…","Socialists have succeeded in capturing a major American political party, as House Minority Leader Hakeem Jeffries endorsed Democratic socialist New York City mayoral nominee Zohran Mamdani Friday after months of resistance and internal division. The post Hake…",Nov18_Right_pre.json,2025-10-24T20:39:46Z,breitbart-news,Breitbart News,Hakeem Jeffries Surrenders Democrat Party to Zohran Mamdani,https://www.breitbart.com/politics/2025/10/24/hakeem-jeffries-surrenders-democrat-party-zohran-mamdani/
"Hannah Knudsen, Hannah Knudsen","New York socialist mayoral candidate Zohran Mamdani said during Wednesday night’s debate that his political beliefs are rooted in believing that human rights extend to queer and trans individuals, in…","New York socialist mayoral candidate Zohran Mamdani said during Wednesday night's debate that his political beliefs are rooted in believing that human rights extend to queer and trans individuals, including ""queer and trans Ugandans,"" specifically. The post Z…",Nov18_Right_pre.json,2025-10-23T15:14:10Z,breitbart-news,Breitbart News,Zohran Mamdani: My Politics Are Built on Extending Human Rights to 'Queer and Trans Ugandans',https://www.breitbart.com/politics/2025/10/23/zohran-mamdani-my-politics-are-built-on-extending-human-rights-to-queer-and-trans-ugandans/
"Joshua Klein, Joshua Klein","One of Israels most polarizing lawmakers Ahmad Tibi, a member of the Knesset who describes himself as Palestinian-Israeli and once served as an adviser to Yasser Arafat urged New Yorkers to Go Zohran…","One of Israel’s most polarizing lawmakers — Ahmad Tibi, a member of the Knesset who describes himself as Palestinian-Israeli and once served as an adviser to Yasser Arafat — urged New Yorkers to “Go Zohran!” on Monday, hailing socialist mayoral nominee Zohran…",Nov18_Right_pre.json,2025-10-28T04:59:50Z,breitbart-news,Breitbart News,"Arafat’s Former Adviser, Palestinian-Israeli MK Ahmad Tibi, Endorses NYC Socialist Zohran Mamdani",https://www.breitbart.com/politics/2025/10/27/arafats-former-adviser-endorses-nyc-socialist-zohran-mamdani/
Elizabeth Weibel,"New York City (NYC) Democrat socialist mayoral candidate Zohran Mamdani vowed that if elected to be the next mayor of the city, he would fight against President Donald Trump and his administration in…","New York City (NYC) Democrat socialist mayoral candidate Zohran Mamdani vowed that if elected to be the next mayor of the city, he would fight against President Donald Trump and his administration in response to threats to stop federal funding from going to t…",Nov18_Right_pre.json,2025-11-04T03:14:49Z,breitbart-news,Breitbart News,Socialist Zohran Mamdani Vows to Fight Trump Administration over Trump Funding Threats,https://www.breitbart.com/politics/2025/11/03/zohran-mamdani-vows-fight-trump-administration-trump-funding-threats/
"John Nolte, John Nolte",An incredible 26.5 percent of New York City residents are considering fleeing the city if the Democrat/communist/Islamist Zohran Mamdani wins next months mayoral race. And he is going to win the may…,An incredible 26.5 percent of New York City residents are considering fleeing the city if the Democrat/communist/Islamist Zohran Mamdani wins next month’s mayoral race. The post Nolte: Over 25% of New Yorkers Consider Fleeing if Zohran Mamdani Elected Mayor a…,Nov18_Right_pre.json,2025-10-24T18:39:06Z,breitbart-news,Breitbart News,Nolte: Over 25% of New Yorkers Consider Fleeing if Zohran Mamdani Elected Mayor,https://www.breitbart.com/politics/2025/10/24/nolte-over-25-of-new-yorkers-consider-fleeing-if-zohran-mamdani-elected-mayor/
John Nolte,"Communist/Islamist/Fabulist/Democrat Zohran Mamdani is less than one week away from becoming the next mayor of New York City, and already he is facing two criminal referrals. The complaints, filed b…","Communist/Islamist/Fabulist/Democrat Zohran Mamdani is less than one week away from becoming the next mayor of New York City, and already he is facing two criminal referrals. The post Nolte: Criminal Referrals Filed Against Zohran Mamdani for Alleged Foreign …",Nov18_Right_pre.json,2025-10-30T13:35:29Z,breitbart-news,Breitbart News,Nolte: Criminal Referrals Filed Against Zohran Mamdani for Alleged Foreign Contributions,https://www.breitbart.com/politics/2025/10/30/nolte-criminal-referrals-filed-against-zohran-mamdani-for-alleged-foreign-contributions/
Amy Furr,"New York City mayoral candidate, socialist Zohran Mamdani, appeared to blame President Donald Trump for bomb threats at polling places in New Jersey on Tuesday as voters showed up to cast their ballo…","New York City mayoral candidate, socialist Zohran Mamdani, appeared to blame President Donald Trump for bomb threats at polling places in New Jersey on Tuesday as voters showed up to cast their ballots. The post WATCH: Zohran Mamdani Tries to Blame Trump for …",Nov18_Right_pre.json,2025-11-04T19:15:44Z,breitbart-news,Breitbart News,WATCH: Zohran Mamdani Tries to Blame Trump for Election-Day Bomb Threats,https://www.breitbart.com/politics/2025/11/04/watch-nyc-socialist-mamdani-tries-to-blame-trump-for-election-day-bomb-threats/
Warner Todd Huston,"Former Atlanta Braves pitcher John Rocker is raking New York City over the coals once again, this time about the likelihood that socialist Zohran Mamdani could be the next mayor of the Big Apple. Ro…","Ex-Braves pitcher John Rocker is raking New York City over the coals once again, this time about socialist mayoral candidate Zohran Mamdani. The post ‘F*ck New York’: Former Braves Pitcher John Rocker Rips NYC Over Zohran Mamdani Campaign appeared first on Br…",Nov18_Right_pre.json,2025-10-29T17:14:57Z,breitbart-news,Breitbart News,'F*ck New York': Former Braves Pitcher John Rocker Rips NYC Over Zohran Mamdani Campaign,https://www.breitbart.com/sports/2025/10/29/f-new-york-former-braves-pitcher-john-rocker-rips-nyc-over-zohran-mamdani-campaign/
John Binder,"Democrat mayoral candidate Zohran Mamdani says he will defend the rights of illegal aliens to live in New York City against President Donald Trump. During a press conference this week, Mamdani, an i…",Democrat mayoral candidate Zohran Mamdani says he will defend the rights of illegal aliens to live in New York City against President Donald Trump. The post Zohran Mamdani Says He Will Defend Illegal Aliens’ Right to Live in NYC appeared first on Breitbart.,Nov18_Right_pre.json,2025-11-03T23:29:55Z,breitbart-news,Breitbart News,Zohran Mamdani Says He Will Defend Illegal Aliens' Right to Live in NYC,https://www.breitbart.com/politics/2025/11/03/zohran-mamdani-illegal-alien-rights-nyc/
Matthew Boyle,"Socialist Zohran Mamdani will complete his hostile takeover of the Democrat Party nationally, assuming the polls are right and he is elected mayor of New York City on Tuesday. When the race is called…","Socialist Zohran Mamdani will complete his hostile takeover of the Democrat Party nationally, assuming the polls are right and he is elected mayor of New York City on Tuesday. When the race is called, assuming he wins, Mamdani will have successfully supplante…",Nov18_Right_pre.json,2025-11-04T23:45:04Z,breitbart-news,Breitbart News,"*** Election Night LiveWire *** Results in New York, New Jersey, Virginia as Zohran Mamdani Rises to Become Leader of Democrat Party",https://www.breitbart.com/politics/2025/11/04/election-night-livewire-results-in-new-york-new-jersey-virginia-as-zohran-mamdani-rises-to-become-leader-of-democrat-party/
Pam Key,"On Sunday’s “60 Minutes,” President Donald Trump said he is better-looking than Queens Assemblyman and New York City mayoral candidate Zohran Mamdani (D). Host Norah O’Donnell said, “With state and …","On Sunday's ""60 Minutes,"" President Donald Trump said he is better-looking than Queens Assemblyman and New York City mayoral candidate Zohran Mamdani (D). The post Trump on Mamdani: ‘I’m a Much Better Looking Person’ appeared first on Breitbart.",Nov18_Right_pre.json,2025-11-03T19:19:14Z,breitbart-news,Breitbart News,Trump on Mamdani: 'I'm a Much Better Looking Person',https://www.breitbart.com/clips/2025/11/03/trump-on-mamdani-im-a-much-better-looking-person/
Alana Mastrangelo,Michael Rapaport slammed Democrat Socialist New York City mayoral frontrunner Zohran Mamdani over his refusal to call on the terrorist group Hamas to lay down their arms. “He is so full of fucking sh…,"Michael Rapaport slammed Democrat Socialist New York City mayoral frontrunner Zohran Mamdani over his refusal to call on the terrorist group Hamas to lay down their arms. ""He is so full of f**king s**t,"" the actor declared. The post Michael Rapaport Slams Zoh…",Nov18_Right_pre.json,2025-11-04T17:12:11Z,breitbart-news,Breitbart News,Michael Rapaport Slams Zohran Mamdani Over His Refusal to Condemn Hamas: 'He Is So Full of F**king S**t',https://www.breitbart.com/entertainment/2025/11/04/michael-rapaport-slams-zohran-mamdani-over-his-refusal-to-condemn-hamas-he-is-so-full-of-fking-st/
Spencer Neale,"President Donald Trump endorsed the mayoral candidacy of New Yorks former Gov. Andrew Cuomo, a Democrat, on Monday, the night before the election in New York City. In a post to Truth Social, Trump s…",State of the Union: Cuomo earns President Trump’s seal of approval the night before Tuesday’s election. The post Trump Endorses Cuomo for NYC Mayor appeared first on The American Conservative.,Nov18_Right_pre.json,2025-11-04T00:57:41Z,the-american-conservative,The American Conservative,Trump Endorses Cuomo for NYC Mayor,https://www.theamericanconservative.com/trump-endorses-cuomo-for-nyc-mayor/
Alana Mastrangelo,Indian American filmmaker Mira Nair the mother of Democrat Socialist New York City mayoral frontrunner Zohran Mamdani described her son as “not an American at all” in an unearthed 2013 interview. “H…,"Indian American filmmaker Mira Nair — the mother of Democrat Socialist New York City mayoral frontrunner Zohran Mamdani — described her son as ""not an American at all"" in an unearthed 2013 interview. The post International Filmmaker Mira Nair, Zohran Mamdani’…",Nov18_Right_pre.json,2025-10-29T15:44:47Z,breitbart-news,Breitbart News,"International Filmmaker Mira Nair, Zohran Mamdani's Mother, Described Her Socialist Son as 'Not an American at All'",https://www.breitbart.com/politics/2025/10/29/international-filmmaker-mira-nair-zohran-mamdanis-mother-described-her-socialist-son-as-not-an-american-at-all/
"Ian Hanchett, Ian Hanchett","On Friday’s broadcast of HBO’s “Real Time,” host Bill Maher said that “Sarah Palin used to say Obama palled around with terrorists, which was bullshit,” but New York City mayoral candidate Assemblyma…","On Friday’s broadcast of HBO’s “Real Time,” host Bill Maher said that “Sarah Palin used to say Obama palled around with terrorists, which was bullshit,” but New York City mayoral candidate Assemblyman Zohran Mamdani (D) “did campaign with a terrorist The post…",Nov18_Right_pre.json,2025-10-25T18:45:00Z,breitbart-news,Breitbart News,Maher: Mamdani 'Did Campaign with a Terrorist',https://www.breitbart.com/clips/2025/10/25/maher-mamdani-did-campaign-with-a-terrorist/
"Sean Moran, Sean Moran",Kentucky Senate Republican candidate Nate Morris said on Breitbart News Saturday that America will “have a litany of” socialist candidates like Zohran Mamdani if the country does not secure the borde…,Kentucky Senate Republican candidate Nate Morris said on Breitbart News Saturday that America will have more socialist candidates such as Zohran Mamdani if the country does not secure the border and send illegal aliens back. The post Exclusive — Nate Morris: …,Nov18_Right_pre.json,2025-10-26T21:38:53Z,breitbart-news,Breitbart News,"Exclusive -- Nate Morris: America Will Have More Zohran Mamdanis if We Do Not Secure Border, Send Illegal Aliens Back",https://www.breitbart.com/politics/2025/10/26/exclusive-nate-morris-america-will-have-more-zohran-mamdanis-if-we-do-not-secure-border-send-illegal-aliens-back/
Elizabeth Weibel,"Former New York Gov. and New York City mayoral candidate Andrew Cuomo (D) responded to the news that President Donald Trump endorsed him, pointing out that Trump “opposes” Democrat Socialist NYC mayo…","Former New York Gov. and New York City mayoral candidate Andrew Cuomo (D) responded to the news that President Donald Trump endorsed him, pointing out that Trump ""opposes"" Democrat Socialist NYC mayoral candidate Zohran Mamdani more, and believes Mamdani is a…",Nov18_Right_pre.json,2025-11-04T20:11:52Z,breitbart-news,Breitbart News,"Andrew Cuomo Distances Himself from Trump Endorsement: POTUS 'Does Not Support Me,' Opposes 'Existential Threat' Mamdani",https://www.breitbart.com/politics/2025/11/04/andrew-cuomo-distances-himself-from-trump-endorsement-potus-does-not-support-me-opposes-existential-threat-mamdani/
Paul Bois,"Far-left filmmaker Michael Moore has fallen head-over-heels for Zohran Mamdani, frontrunner in New York City’s mayoral race, and promoted the Democratic Socialist’s questionable story of his “aunt” f…","Far-left filmmaker Michael Moore has fallen head-over-heels for Zohran Mamdani, frontrunner in New York City's mayoral race, and promoted the Democratic Socialist's questionable story of his ""aunt"" facing Islamophobia after the September 11 terrorist attacks.…",Nov18_Right_pre.json,2025-10-29T15:57:03Z,breitbart-news,Breitbart News,Michael Moore Promotes Hoax Mamdani Aunt Story While Backing 'New York City's Next Mayor',https://www.breitbart.com/entertainment/2025/10/29/michael-moore-promotes-questionable-mamdani-aunt-story/
Ian Hanchett,"During a portion of an interview with PBS aired on Monday’s “PBS NewsHour,” Patrick Gaspard, an informal adviser to the campaign of New York City mayoral candidate Assemblyman Zohran Mamdani, said th…","During a portion of an interview with PBS aired on Monday’s “PBS NewsHour,” Patrick Gaspard, an informal adviser to the campaign of New York City mayoral candidate Assemblyman Zohran Mamdani, said that Mamdani’s (D) views on Israel and Gaza are The post Infor…",Nov18_Right_pre.json,2025-11-04T12:02:45Z,breitbart-news,Breitbart News,Informal Mamdani Adviser: His Israel Views Are Crucial to Getting Support,https://www.breitbart.com/clips/2025/11/04/informal-mamdani-adviser-his-israel-views-are-crucial-to-getting-support/
"Joel B. Pollak, Joel B. Pollak","New York City Democratic Party mayoral nominee Zohran Mamdani campaigned Friday with radical Imam Siraj Wahhaj, an Islamist who was an unindicted co-conspirator in the 1993 World Trade Center bombing…","New York City Democratic Party mayoral nominee Zohran Mamdani campaigned Friday with radical Imam Siraj Wahhaj, an Islamist who was an unindicted co-conspirator in the 1993 World Trade Center bombing. The post Mamdani Campaigns with Unindicted Co-Conspirator …",Nov18_Right_pre.json,2025-10-19T00:30:39Z,breitbart-news,Breitbart News,Mamdani Campaigns with Unindicted Co-Conspirator in 1993 WTC Bombing,https://www.breitbart.com/politics/2025/10/18/mamdani-campaigns-with-unindicted-co-conspirator-in-1993-wtc-bombing/
"Alana Mastrangelo, Alana Mastrangelo",Researchers say they found that China’s TikTok “systematically boosts” content using in favor of Socialist New York City mayoral candidate Zohran Mamdani and against former NYC Mayor Andrew Cuomo (D)…,"Researchers say they found that China's TikTok ""systematically boosts"" content using in favor of Socialist New York City mayoral candidate Zohran Mamdani and against former NYC Mayor Andrew Cuomo (D) using its content algorithm. The team asserts that this goe…",Nov18_Right_pre.json,2025-10-23T15:10:03Z,breitbart-news,Breitbart News,Researchers: China's TikTok Boosts Pro-Mamdani Content in Algorithm,https://www.breitbart.com/tech/2025/10/23/researchers-chinas-tiktok-boosts-pro-mamdani-content-in-algorithm/
"Jasmyn Jordan, Jasmyn Jordan","A new independent survey shows Rep. Elise Stefanik (R-NY) edging ahead of Democrat Gov. Kathy Hochul in a potential 2026 gubernatorial matchup, even as New York City Assemblyman Zohran Mamdani mainta…","A new independent survey shows Rep. Elise Stefanik (R-NY) edging ahead of Democrat Gov. Kathy Hochul in a potential 2026 gubernatorial matchup, even as New York City Assemblyman Zohran Mamdani maintains a commanding lead in the upcoming mayoral race. The post…",Nov18_Right_pre.json,2025-10-29T03:27:34Z,breitbart-news,Breitbart News,Poll: Elise Stefanik Leads Kathy Hochul in Deep-Blue New York as Socialist Mamdani Tops Mayoral Field,https://www.breitbart.com/politics/2025/10/28/poll-elise-stefanik-leads-kathy-hochul-in-deep-blue-new-york-as-socialist-mamdani-tops-mayoral-field/
"Jasmyn Jordan, Jasmyn Jordan","Rep. Alexandria Ocasio-Cortez (D-NY) joined New York City mayoral nominee Zohran Mamdani (D) at a weekend rally in Queens, evoking the citys immigrant roots and calling on supporters to reject claims…","Rep. Alexandria Ocasio-Cortez joined NYC mayoral nominee Zohran Mamdani at a rally in Queens, calling on supporters to reject claims that their movement is “crazy.” The post AOC Rallies for Mamdani: ‘They Want Us to Think We Are Crazy — We Are Sane’ appeared …",Nov18_Right_pre.json,2025-10-27T17:51:48Z,breitbart-news,Breitbart News,AOC Rallies for Mamdani: ‘They Want Us to Think We Are Crazy — We Are Sane’,https://www.breitbart.com/politics/2025/10/27/aoc-rallies-mamdani-they-want-us-think-we-are-crazy-we-are-sane/
