from_json,title,description,Topic Label
Nov18_Left_post.json,Stefanik’s Campaign Launch Is Much About Mamdani,"In a video launching her gubernatorial campaign, Elise Stefanik tries to tie Kathy Hochul to Zohran Mamdani while also vowing to fight for affordability. She doesn’t mention Trump at all.",Trump
Nov18_Left_post.json,How the Housing Proposals Will Turbocharge Mayor Mamdani,Nia Prater reports that three ballot initiatives approved by New Yorkers will turbocharge Mayor-elect Zohran Mamdani’s agenda to build more housing.,Mayoral Election (analysis)
Nov18_Left_post.json,The End of the Bully,Ross Barkan writes that Zohran Mamdani defeated Andrew Cuomo and his cutthroat style of politics he tried and failed to bring from Albany to New York City.,Gossip
Nov18_Left_post.json,Will It Be Mamdani or Cuomo? Election Night Live Updates.,"Tonight’s the night. We’ll soon know whether the next mayor of New York will be Zohran Mamdani or Andrew Cuomo. Here are the latest results and updates, along with analysis and commentary, as Election Night plays out.",Mayoral Election (coverage)
Nov18_Left_post.json,Mamdani headed to victory in historic NYC mayor's race,"Zohran Mamdani beat out former New York Gov. Andrew Cuomo to become New York City's next mayor, in a race that captured national attention.",Mayoral Election (coverage)
Nov18_Left_post.json,Zohran Mamdani’s win is a template for Democratic revival,"New York City Mayor-Elect Zohran Mamdani, who defeated Andrew Cuomo on Tuesday, showed the Democratic Party how to win with moral clarity.",Mayoral Election (analysis)
Nov18_Left_post.json,Six Things to Know Now That It’s Election Day,"When we may know the winner, what the turnout means so far, and some other things to think about now that mayoral race between Zohran Mamdani and Andrew Cuomo is about to end.",Mayoral Election (coverage)
Nov18_Left_post.json,"As Mamdani nears victory, Democrats worry about national fallout",Democratic socialist Zohran Mamdani is on the cusp of a mayoral win in New York. And national Democrats are concerned about what that means for the party.,Democrat Party Politics
Nov18_Left_post.json,What Did the 2025 Election Mean?,"There’s a lot of excitement following Zohran Mamdani’s and Democrats’ big victories. There are a lot of takes, too. Here are some of the most interesting ones.",Mayoral Election (analysis)
Nov18_Left_post.json,What the Polls Got Right and Wrong in the 2025 Elections,"In the scattered elections of 2025, polls underestimated the Democratic vote in New Jersey and Virginia and missed a Republican collapse in New York City — though they did predict Zohran Mamdani’s election as mayor.",Mayoral Election (coverage)
Nov18_Left_post.json,Megyn Kelly’s xenophobic rant against Zohran Mamdani is as MAGA as it gets,The right-wing pundit says Muslims like New York City's mayor-elect shouldn't hold office in the U.S.,Racism
Nov18_Left_post.json,ICE Wants NYPD Cops Who Are Mad About Mamdani,The agency put out a new recruitment ad that tries to promote and capitalize on postelection angst within the NYPD.,ICE
Nov18_Left_post.json,Minneapolis Dem mayor fends off democratic socialist challenge...,"Minneapolis Mayor Jacob Frey has won a third term, defeating challenger Omar Fateh in the city's ranked-choice voting election. Frey, a mainstream Democrat, led Fateh, a democratic socialist, by about 10 percentage points after the first round of counting. Th…",Democrat Party Politics
Nov18_Left_post.json,A Very Close Look at How Mamdani Carried the City,A conversation with voting data savant Michael Lange about where Mamdani and Cuomo dominated and what surprised him in the results.,Mayoral Election (analysis)
Nov18_Left_post.json,Why Zohran Mamdani’s historic victory is so special,"New York elected its first Muslim mayor, Zohran Mamdani, amid bilious Islamophobia from his rivals, including former New York governor Andrew Cuomo.",Mayoral Election (analysis)
Nov18_Left_post.json,Zohran Mamdani’s all-female transition team features familiar names,"New York City Mayor-elect Zohran Mamdani announced an all-female transition team on Wednesday, after winning a race in which he campaigned as a fresh face.",Mayoral Election (analysis)
Nov18_Center_post.json,Forget Schumer and Pelosi. Zohran Mamdani is Republicans' new foil.,"The National Republican Congressional Committee plans to ""Make Mamdani and his policies the face of the Democratic Party,"" in the 2026 elections.",US Politics
Nov18_Center_post.json,"New York will resist Trump 'intimidation,' Mayor-elect Zohran Mamdani says","Mayor-elect Zohran Mamdani appeared Wednesday on ""Good Morning America.""",Mayoral Election (coverage)
Nov18_Center_post.json,What to know about Zohran Mamdani's wife Rama Duwaji,Duwaji appeared with Mamdani after he secured his election win on Tuesday night.,Mayoral Election (coverage)
Nov18_Center_post.json,Zohran Mamdani campaigned on free buses in New York City. The governor is pumping the brakes.,"New York Gov. Kathy Hochul says the transit system relies on bus and subway fares and that she ""cannot set forth a plan right now"" to change that.",Mayoral Election (analysis)
Nov18_Center_post.json,"Zohran Mamdani makes history -- and strikes a chord among Muslims, South Asians",Democrat Zohran Mamdani's projected victory as New York City’s first Muslim and South Asian mayor marks a historic moment.,Mayoral Election (coverage)
Nov18_Center_post.json,"WATCH: Democrat Zohran Mamdani will win the NYC mayoral race, ABC News projects",Mamdani is set to be the city's first Muslim mayor of south Asian descent.,Racism
Nov18_Center_post.json,Led by an immigrant': NYC Mayor-elect Mamdani calls out Trump in victory speech,The results of the mayoral race that skyrocketed to national attention are in: 34-year-old Zohran Mamdani is projected to be the next mayor of New York City.,Mayoral Election (analysis)
Nov18_Center_post.json,WATCH: Trump goes after Mamdani a day after NYC mayoral election,"President Trump said he'll ""take care"" of New York City after self-described democratic socialist Zohran Mandani won the city's mayoral election on Tuesday night.",Trump
Nov18_Center_post.json,Texas Gov. Abbott says he’ll ‘impose 100% tariff’ on New Yorkers who move in,"The power to impose tariffs falls within the federal government’s authority in the Constitution, not the states.",NYC Exodus/Degredation
Nov18_Center_post.json,New York City mayoral election results: Mamdani is projected winner in historic win,Follow live election results and candidate updates for NYC’s mayoral race.,Mayoral Election (coverage)
Nov18_Center_post.json,"Election Day live updates: Key races unfold in New York City, New Jersey and Virginia","Follow live coverage of the U.S. November 4, 2025 elections: Results, analysis, key state and local races, and what they mean for the 2026 midterms.",Mayoral Election (coverage)
Nov18_Center_post.json,"Mamdani's effect: Experts predict more millennial, Gen Z candidates will seek office","Zohran Mamdani's historic election win will likely not be the last time a candidate under 35 will win a major race, political experts said.",Mayoral Election (analysis)
Nov18_Center_post.json,National spotlight shines on NYC mayoral race as voters make final decisions,"All eyes are on New York City as Election Day arrives, marking the final opportunity for voters to weigh in on the high-stakes mayoral race.",Mayoral Election (analysis)
Nov18_Center_post.json,"How Mamdani clinched the votes of young people, newcomers to NYC",Exit polls revealed Mamdani captured the majority of votes from the younger population and newcomers to the city.,Mayoral Election (analysis)
Nov18_Center_post.json,"WATCH: California's Proposition 50 will pass, ABC News projects","California's Proposition 50, redrawing the congressional map to make five districts more Democratic-leaning, will pass, ABC News projects.",Democrat Party Politics
Nov18_Right_post.json,"Muslim Socialist Zohran Mamdani Lies in Post-Election Interview, Says Trump Is Cutting SNAP Benefits","Muslim socialist Zohran Mamdani, the mayor-elect in New York City, lied in a post-election interview, stating that President Donald Trump — not fellow Democrats — cut Supplemental Nutrition Assistance Program (SNAP) benefits in the government shutdown. The po…",Trump
Nov18_Right_post.json,Socialist Zohran Mamdani Vows to Fight Trump Administration over Trump Funding Threats,"New York City (NYC) Democrat socialist mayoral candidate Zohran Mamdani vowed that if elected to be the next mayor of the city, he would fight against President Donald Trump and his administration in response to threats to stop federal funding from going to t…",Trump
Nov18_Right_post.json,WATCH: Zohran Mamdani Tries to Blame Trump for Election-Day Bomb Threats,"New York City mayoral candidate, socialist Zohran Mamdani, appeared to blame President Donald Trump for bomb threats at polling places in New Jersey on Tuesday as voters showed up to cast their ballots. The post WATCH: Zohran Mamdani Tries to Blame Trump for …",Trump
Nov18_Right_post.json,Actress Debra Messing Shares Viral Meme Calling Zohran Mamdani a 'Communist Jihadist',"""Will & Grace"" star Debra Messing shared a viral meme on Election Day Tuesday, to her 1.4 million Instagram followers, calling newly elected New York City Mayor Zohran Mamdani an ""actual Communist Jihadist."" The post Actress Debra Messing Shares Viral Meme Ca…",Racism
Nov18_Right_post.json,"*** Election Night LiveWire *** Results in New York, New Jersey, Virginia as Zohran Mamdani Rises to Become Leader of Democrat Party","Socialist Zohran Mamdani will complete his hostile takeover of the Democrat Party nationally, assuming the polls are right and he is elected mayor of New York City on Tuesday. When the race is called, assuming he wins, Mamdani will have successfully supplante…",Gossip
Nov18_Right_post.json,"Very Good, New York': Colombia’s Marxist President Gustavo Petro Celebrates Mamdani Win","Gustavo Petro, Colombia's far-left president, celebrated the election of socialist Zohran Mamdani as mayor of New York City. The post ‘Very Good, New York’: Colombia’s Marxist President Gustavo Petro Celebrates Mamdani Win appeared first on Breitbart.",Mayoral Election (coverage)
Nov18_Right_post.json,Clyburn: Calling Mamdani a Communist Is 'Foolishness',"Friday on CNN's ""The Arena,"" Rep. James Clyburn (D-SC) said it was foolish to call New York City Mayor-elect Zohran Mamdani (D) a communist. The post Clyburn: Calling Mamdani a Communist Is ‘Foolishness’ appeared first on Breitbart.",Gossip
Nov18_Right_post.json,Michael Rapaport Slams Zohran Mamdani Over His Refusal to Condemn Hamas: 'He Is So Full of F**king S**t',"Michael Rapaport slammed Democrat Socialist New York City mayoral frontrunner Zohran Mamdani over his refusal to call on the terrorist group Hamas to lay down their arms. ""He is so full of f**king s**t,"" the actor declared. The post Michael Rapaport Slams Zoh…",Isreal-Palestine Conflict
Nov18_Right_post.json,Dave Portnoy Rejoices Over Leaving NYC After Socialist Zohran Mamdani's Election,Barstool Sports chief Dave Portnoy says he could not be more relieved that he fled New York City after Tuesday's election of Zohran Mamdani. The post Dave Portnoy Rejoices Over Leaving NYC After Socialist Zohran Mamdani’s Election appeared first on Breitbart.,NYC Exodus/Degredation
Nov18_Right_post.json,"50 Cent Blasts Zohran Mamdani's Plans to Tax the Rich, Defund Police: 'Rest In Peace New York City'",Music and multimedia mogul 50 Cent is coming out once again against newly-elected New York City Mayor Zohran Mamdani and the socialist's plans to tax the rich to fund his vast government-backed priorities and to defund the city's police force. The post 50 Ce…,Mayoral Election (analysis)
Nov18_Right_post.json,Trump Endorses Cuomo for NYC Mayor,State of the Union: Cuomo earns President Trump’s seal of approval the night before Tuesday’s election. The post Trump Endorses Cuomo for NYC Mayor appeared first on The American Conservative.,Trump
Nov18_Right_post.json,"Stephen Colbert, Jimmy Kimmel Celebrate Socialist Zohran Madani’s NYC Mayor Election","The left-wing late-night TV hosts were giddy Wednesday in celebration of the winning campaign of socialist mayor-elect of New York City, Zohran Mamdani. The post Stephen Colbert, Jimmy Kimmel Celebrate Socialist Zohran Madani’s NYC Mayor Election appeared fir…",Mayoral Election (coverage)
Nov18_Right_post.json,Muslims Gloat over Zohran Mamdani's Election Victory: 'America's Mayor',Islamic advocates are gloating over the election of a Muslim immigrant to the mayoralty of New York City. The post Muslims Gloat over Zohran Mamdani’s Election Victory: ‘America’s Mayor’ appeared first on Breitbart.,Racism
Nov18_Right_post.json,"Andrew Cuomo Distances Himself from Trump Endorsement: POTUS 'Does Not Support Me,' Opposes 'Existential Threat' Mamdani","Former New York Gov. and New York City mayoral candidate Andrew Cuomo (D) responded to the news that President Donald Trump endorsed him, pointing out that Trump ""opposes"" Democrat Socialist NYC mayoral candidate Zohran Mamdani more, and believes Mamdani is a…",Trump
Nov18_Right_post.json,Billionaire Alex Soros Hails Socialist Zohran Mamdani's Victory: 'The American Dream Continues',"Alex Soros, the son of leftist billionaire megadonor George Soros, on Tuesday hailed socialist Zohran Mamdani's election to become the next mayor of New York City. The post Billionaire Alex Soros Hails Socialist Zohran Mamdani’s Victory: ‘The American Dream C…",Mayoral Election (analysis)
Nov18_Right_post.json,Hochul: I Endorsed Mamdani 'Because I Want to Have a Relationship With' NYC's Mayor,"On Friday’s broadcast of CNN’s “OutFront,” New York Gov. Kathy Hochul (D) stated that she endorsed New York City Mayor-Elect Assemblyman Zohran Mamdani (D) “because I want to have a relationship with…who I thought would be the next mayor of The post Hochul: I…",Mayoral Election (analysis)
Nov18_Right_post.json,Informal Mamdani Adviser: His Israel Views Are Crucial to Getting Support,"During a portion of an interview with PBS aired on Monday’s “PBS NewsHour,” Patrick Gaspard, an informal adviser to the campaign of New York City mayoral candidate Assemblyman Zohran Mamdani, said that Mamdani’s (D) views on Israel and Gaza are The post Infor…",Isreal-Palestine Conflict
Nov18_Right_post.json,"FDNY Commissioner Hands In Resignation Less than 12 Hours After Mamdani Win, Other Top Officials Expected to Follow Suit","FDNY Commissioner Robert Tucker handed in his resignation on Wednesday, less than 12 hours after Democrat Socialist Zohran Mamdani was announced the winner of New York City's mayoral election. The post FDNY Commissioner Hands In Resignation Less than 12 Hours…",Mayoral Election (analysis)
Nov18_Right_post.json,Maher: Dems Should Be Questioned on if They Align with Mamdani,"On Friday’s broadcast of HBO’s “Real Time,” host Bill Maher stated that Democrats should be questioned about if they want the party to go in the direction of the democratic socialism pushed by New York City Mayor-Elect Assemblyman Zohran Mamdani (D). The post…",Democrat Party Politics
Nov18_Right_post.json,Jon Voight Urges Trump to 'Terminate' Zohran Mamdani's Election Victory to Stop NYC from Becoming a 'Socialist Crap City',"Jon Voight is calling on President Donald Trump to ""terminate"" socialist Zohran Mamdani's mayoral win in New York City. The post Jon Voight Urges Trump to ‘Terminate’ Zohran Mamdani’s Election Victory to Stop NYC from Becoming a ‘Socialist Crap City’ appeared…",Trump
Nov18_Right_post.json,Gov. DeSantis Asks If Florida Should Impose Tariffs on Fleeing New Yorkers or Build a Wall,Florida Gov. Ron DeSantis (R) is trolling after New York City's election of Muslim socialist Zohran Mamdani as mayor. The post Gov. DeSantis Asks If Florida Should Impose Tariffs on Fleeing New Yorkers or Build a Wall appeared first on Breitbart.,NYC Exodus/Degredation
Nov18_Right_post.json,"Trump Urges NYC to Vote for Andrew Cuomo, Warns Voting for Curtis Sliwa 'Is a Vote For' Socialist Mamdani","President Donald Trump encouraged people in New York City to vote for former New York Gov. Andrew Cuomo (D) in the city's mayoral election, warning that a vote for NYC Republican mayoral candidate Curtis Sliwa is a ""vote for"" socialist Zohran Mamdani, the Dem…",Trump
Nov18_Right_post.json,"CAIR Ohio Director: Mamdani Victory a ‘Referendum’ on Palestinian Resistance, ‘Coup’ Against Democrat Establishment","The executive director of the Council on American-Islamic Relations’ (CAIR) Ohio chapter described the election of New York City’s new socialist mayor, Zohran Mamdani, as both a “coup” against the Democratic Party elites and a “referendum” on Palestinian and …",Isreal-Palestine Conflict
Nov18_Right_post.json,Breitbart Business Digest: What Mamdani’s Victory Reveals About America’s New Class Politics,Zohran Mamdani won big because he tapped into something that cuts across traditional class boundaries: a pervasive sense that the fundamental bargain of American economic life has broken down. The post Breitbart Business Digest: What Mamdani’s Victory Reveals…,Mayoral Election (analysis)
Nov18_Right_post.json,CNN's Van Jones: Mamdani 'Missed an Opportunity' with Divisive Victory Speech,"Early Wednesday, following New York City Mayor-elect Zohran Mamdani's victory speech, CNN contributor Van Jones gave the speech low marks for its rhetoric. The post CNN’s Van Jones: Mamdani ‘Missed an Opportunity’ with Divisive Victory Speech appeared first o…",Mayoral Election (coverage)
Nov18_Right_post.json,"Exclusive — Veteran Democratic Operative: Mamdani, Radical DSA Seized Democratic Party 'Carcass'","With Election Day drawing to a close in New York City, veteran Democratic operative Hank Sheinkopf warned that a victory by socialist frontrunner Zohran Mamdani would mark not only the end of Jewish New York but the hijacking of the Democratic Party’s remains…",Democrat Party Politics
Nov18_Right_post.json,Exclusive — Emmer: Mamdani Victory Marks the ‘Death of the Democrat Party’,House Majority Whip Tom Emmer told Breitbart News his view of New York City mayor-elect Zohran Mamdani’s win reflects a broader shift he believes is underway inside the Democrat Party. The post Exclusive — Emmer: Mamdani Victory Marks the ‘Death of the Democr…,Democrat Party Politics
Nov18_Right_post.json,Javier Milei Invites New Yorkers Fleeing Socialist Mamdani to Move to Argentina,"Argentine President Javier Milei issued a message this weekend welcoming New Yorkers seeking to flee Mayor-elect Zohran Mamdani's socialist agenda to move to his country, recalling the long immigrant-friendly history of the Argentine Republic. The post Javier…",NYC Exodus/Degredation
Nov18_Right_post.json,Maher: Single-Payer Healthcare Failed in Bernie's Home State,"During his closing monologue on Friday’s broadcast of HBO’s “Real Time,” host Bill Maher stated that the Democratic socialism pushed by New York City Mayor-Elect Assemblyman Zohran Mamdani (D), Rep. Alexandria Ocasio-Cortez (D-NY), and Sen. Bernie Sanders (I-…",Mayoral Election (coverage)
Nov18_Right_post.json,Trump Says America Is at Crossroads of 'Communism and Common Sense' After Mamdani's Win,"President Donald Trump said Wednesday in Miami, Florida, that America is at a crossroads ""between communism and common sense"" after radical leftist Zohran Mamdani won the New York City mayoral race. The post Trump Says America Is at Crossroads of ‘Communism a…",Trump
Nov18_Right_post.json,Breitbart Business Digest: Brooklyn’s Unaffordable Professional Precincts Are America’s Next Rust Belt,The white collar workers in Brooklyn who elected Zohran Mamdani are experiencing the economic displacement felt by blue collar workers in the Rust Belt three decades ago. They are the natural next chapter of the Make America Great Again coalition. The post Br…,NYC Exodus/Degredation
Nov18_Left_pre.json,The GOP's move to take Mamdani national: From the Politics Desk,Republicans are increasingly eager to elevate New York City mayoral front-runner Zohran Mamdani ahead of next year's midterm elections.,Democrat Party Politics
Nov18_Left_pre.json,Republicans work to make Zohran Mamdani the face of the Democratic Party,"Republicans are working to tie Zohran Mamdani, the Democratic socialist running for New York mayor, to the entire Democratic Party ahead of the midterm elections next year.",Democrat Party Politics
Nov18_Left_pre.json,Trump endorses Andrew Cuomo on eve of New York mayoral election: 'You really have no choice',"The president endorsed Cuomo, who is running as an independent against Democratic nominee Zohran Mamdani, instead of Republican candidate Curtis Sliwa.",Trump
Nov18_Left_pre.json,Democrats find a post-Trump message: Make life more affordable,"From Zohran Mamdani in New York to Mikie Sherrill in New Jersey and Abigail Spanberger in Virginia, Democrats are showing what they’ve learned from Trump’s win.",Democrat Party Politics
Nov18_Left_pre.json,"Zohran Mamdani decries 'racist, baseless attacks' in an emotional speech about Islamophobia in New York City","One day before early voting begins in the New York mayoral race, Democratic nominee Zohran Mamdani condemned the “racist, baseless” attacks he’s faced in recent days, saying the attacks exemplify the islamophobia Muslims all over New York face every day.""I ha…",Racism
Nov18_Left_pre.json,Zohran Mamdani and Andrew Cuomo trade insults in final NYC mayoral debate,Zohran Mamdani and Andrew Cuomo clashed Wednesday in a final New York City mayoral debate that put on full display their personal animosity and their array of disagreements on both city and national issues,Mayoral Election (coverage)
Nov18_Left_pre.json,Zohran Mamdani's rise shines a brighter spotlight on democratic socialists,"Mamdani’s surge past former Gov. Andrew Cuomo in June’s Democratic primary for New York City mayor didn’t just put the 34-year-old state assemblyman on the political map. It also shined a brighter spotlight on the Democratic Socialists of America, or DSA.",Democrat Party Politics
Nov18_Left_pre.json,Cuomo says 'that's another problem' when radio host says Mamdani would cheer a terror attack,"Former New York Gov. Andrew Cuomo appeared to laugh briefly and agree with a radio host who said during a Thursday interview that Zohran Mamdani would be ""cheering"" if ""another 9/11"" happened on his watch.",Racism
Nov18_Left_pre.json,Pro-Andrew Cuomo super PAC depicts Zohran Mamdani in front of Twin Towers attack in late ad,A super PAC supporting former New York Gov.,Racism
Nov18_Left_pre.json,"Views of capitalism slip, but socialism is still unpopular even as Mamdani gains prominence","The share of registered voters with positive views of capitalism has dropped under 50% for the first time in seven years of NBC News polling on the issue — a shift that comes as some democratic socialists, like New York mayoral hopeful Zohran Mamdani, gain pr…",Mayoral Election (analysis)
Nov18_Left_pre.json,New York City Mayor Eric Adams backs Andrew Cuomo in the race to succeed him,New York City Mayor Eric Adams is set to endorse former Gov.,Mayoral Election (coverage)
Nov18_Left_pre.json,The Ballot Question that May Matter More Than the Mayoral Race,"New York City’s mayoral race is high-stakes. But a ballot question that could remove one of the central obstacles to the city’s housing crisis may be even more important, Errol Louis writes.",Mayoral Election (analysis)
Nov18_Left_pre.json,Newspaper removes interview with Bill de Blasio after former NYC mayor says the quotes were 'fabricated',"A British newspaper has removed an article that included quotes attributed to former New York City Mayor Bill de Blasio criticizing Democratic mayoral nominee Zohran Mamdani after de Blasio said the quotes were fabricated.""The story in the Times of London is …",Gossip
Nov18_Left_pre.json,The perfect storm that will raise ACA costs and Mamdani's Trump strategy: Morning Rundown,What to know about Affordable Care Act open enrollment and its rising costs.,Trump
Nov18_Left_pre.json,What we can — and can't — learn from next week's elections: From the Politics Desk,"What we can and can't learn from next week's elections in Virginia, New Jersey and New York City.",Mayoral Election (analysis)
Nov18_Left_pre.json,"The Tea, Spilled by Morning Joe: ‘Now the candidates must wait’","This is the Nov. 4 edition of “The Tea, Spilled by Morning Joe” newsletter.",Gossip
Nov18_Left_pre.json,What you need to know ahead of election night: From the Politics Desk,"In today’s election edition, we get you up to speed before polls close tonight in California, New Jersey, New York, Virginia and beyond.",Mayoral Election (analysis)
Nov18_Left_pre.json,"Waiting, Impatiently, for 2028","An extremely early, surely premature analysis of which candidates might win the Democratic presidential primary for the 2028 election.",Mayoral Election (coverage)
Nov18_Left_pre.json,"What to watch in Tuesday's big elections: Races for governor, NYC mayor, redistricting and more",Off-year elections on Tuesday provide the first big chance for voters across several states to make their voices heard this year — and shed early light on some major questions ahead of next year’s midterm elections.,Mayoral Election (coverage)
Nov18_Left_pre.json,Zohran Mamdani details how he'd combat Trump — and where they could work together,"On the precipice of winning next week’s New York mayoral contest, Zohran Mamdani cast himself in an interview with NBC News as the city’s bulwark against President Donald Trump, even as the president has threatened his hometown over the prospect of a Mamdani …",Trump
Nov18_Left_pre.json,Here's the biggest news you missed this weekend,"Democrats have an early lead in next year’s battle for control of Congress amid an ongoing government shutdown, as more voters say President Donald Trump has not lived up to their expectations on several major issues that propelled him back to the White House…",Gossip
Nov18_Center_pre.json,Obama stops short of endorsing Zohran Mamdani as New York City mayoral race winds down,"Former President Barack Obama has praised Zohran Mamdani's campaign for New York City mayor, but he's stopped short of endorsing him. CBS News political reporter Hunter Woodall has more.",Democrat Party Politics
Nov18_Center_pre.json,Jeffries endorses Mamdani in NYC mayor's race,Jeffries' endorsement is the latest show of support for the Democratic assemblyman from Queens and frontrunner in the polls.,Mayoral Election (coverage)
Nov18_Center_pre.json,"Glazing,' Trump's puppet and the Knicks, here are heated moments from NYC mayor's debate",The 90-minute debate hosted by Spectrum News was the last before voters head to the polls in the nation's largest city.,Mayoral Election (coverage)
Nov18_Center_pre.json,NYC mayoral candidates debate for final time before election. How to view.,"With early voting starting on Saturday, Oct. 25, NYC mayoral candidates debate for the last time on Oct. 22 before voters head to polls.",Mayoral Election (coverage)
Nov18_Center_pre.json,Mamdani gets support from Sanders and AOC as early voting begins in NYC,"Key lawmakers, including Sen. Bernie Sanders and Rep. Alexandria Ocasio-Cortez, joined New York City mayoral candidate Zohran Mamdani at a Queens rally on Sunday night. Meanwhile, early voting began ahead of the Nov. 4 election day. CBS News' Katrina Kaufman …",Mayoral Election (coverage)
Nov18_Center_pre.json,"Mamdani rallies alongside Sanders, Ocasio-Cortez and Hochul ahead of Election Day","The Democratic frontrunner in the New York City mayoral race, Zohran Mamdani, held a sold-out rally on Sunday alongside New York Gov. Kathy Hochul, Rep. Alexandria Ocasio-Cortez and Vermont Sen. Bernie Sanders. CBS News political director Fin Gómez joins with…",Mayoral Election (coverage)
Nov18_Center_pre.json,Mamdani packs NYC stadium in rally with AOC and Bernie Sanders,"New York City mayoral candidate Zohran Mamdani packed Forest Hills Stadium in Queens, New York, on Sunday during a rally with Sen. Bernie Sanders, Rep. Alexandria Ocasio-Cortez and New York Gov. Kathy Hochul. CBS News' Katrina Kaufman has the latest.",Mayoral Election (coverage)
Nov18_Center_pre.json,Trump weighs in on New York City mayoral race,"In his ""60 Minutes"" interview, President Trump weighed in on the race for mayor of New York City. Mr. Trump has declined to endorse the Republican nominee, Curtis Sliwa, and calls the Democratic Party nominee, Zohran Mamdani, a communist. Ed O'Keefe is coveri…",Trump
Nov18_Center_pre.json,Takeaways from final debate in New York City mayoral race,"New York City Mayor Eric Adams has endorsed former New York Gov. Andrew Cuomo in the race to replace him. Cuomo, Zohran Mamdani and Curtis Silwa held their final debate of the campaign Wednesday night. Political strategists Matt Gorman and Adam Jentleson join…",Mayoral Election (analysis)
Nov18_Center_pre.json,On the ground in New York City ahead of Election Day,"Zohran Mamdani, Andrew Cuomo and Curtis Sliwa are making their final cases for why they should be mayor of New York City. CBS News senior White House and political correspondent Ed O'Keefe hit the streets one day before Election Day to speak with New Yorkers.",Mayoral Election (coverage)
Nov18_Center_pre.json,"Adams to endorse Cuomo in NYC mayor's race today, sources say","New York City Mayor Eric Adams will endorse former Gov. Andrew Cuomo in the race to replace him, sources in both camps tell CBS News New York's Marcia Kramer.",Mayoral Election (coverage)
Nov18_Center_pre.json,Long Island's Bill DeBlasio explains London newspaper's mayoral mix-up,"It was DeBlasio's email address, bearing his full name, that got his opinion of Mamdani onto the pages of The Times of London.",Gossip
Nov18_Center_pre.json,"Zohran Mamdani's bold ideas won't fix all of New York, but they're why he'll win | Opinion",Zohran Mamdani isn't going to change the city as much as fearmongering centrist Democrats and Republicans say he will.,Mayoral Election (analysis)
Nov18_Center_pre.json,"In Uganda, where Zohran Mamdani was born, NYC mayoral hopeful is recalled with pride","Zohran Mamdani is leading the New York City mayor's race, and people in his native Uganda say they are watching with pride",Mayoral Election (analysis)
Nov18_Center_pre.json,What to know about Election Day 2025,"Election Day 2025 is almost here, with consequential races in New York City, New Jersey, Virginia and a redistricting ballot measure in California.",Mayoral Election (coverage)
Nov18_Center_pre.json,Will ICE raids get worse? Trump says they 'haven't gone far enough',Trump's crackdown in the name of addressing illegal immigration and violent crime has divided Americans and launched a series of legal challenges.,Trump
Nov18_Center_pre.json,Jeffries backs Mamdani for NYC mayor months after primary,House Minority Leader Hakeem Jeffries has endorsed Zohran Mamdani for mayor of New York City,Democrat Party Politics
Nov18_Center_pre.json,New York mayoral candidate Zohran Mamdani rallies voters with support from Bernie Sanders and AOC,New York City mayoral candidate Zohran Mamdani has rallied supporters with heavyweight support from U.S. Sen. Bernie Sanders and Rep. Alexandria Ocasio-Cortez,Mayoral Election (coverage)
Nov18_Center_pre.json,New York mayoral candidate Zohran Mamdani rallies voters with support from Bernie Sanders and AOC,New York City mayoral candidate Zohran Mamdani has rallied supporters with heavyweight support from U.S. Sen. Bernie Sanders and Rep. Alexandria Ocasio-Cortez,Mayoral Election (coverage)
Nov18_Center_pre.json,"From the subway to social media, NYC mayoral candidates make their closing arguments to voters",The final stretch of New York City's mayoral race has candidates Zohran Mamdani and Andrew Cuomo painting two very different pictures,Mayoral Election (coverage)
Nov18_Center_pre.json,"From the subway to social media, NYC mayoral candidates make their closing arguments to voters",The final stretch of New York City's mayoral race has candidates Zohran Mamdani and Andrew Cuomo painting two very different pictures,Mayoral Election (coverage)
Nov18_Center_pre.json,NYC mayoral candidates make final push ahead of Election Day,New York City’s mayoral candidates are set to make a final push to get voters to the polls as the race to lead America’s biggest city nears its finale,Mayoral Election (coverage)
Nov18_Center_pre.json,NYC mayoral candidates make final push ahead of Election Day,New York City’s mayoral candidates are set to make a final push to get voters to the polls as the race to lead America’s biggest city nears its finale,Mayoral Election (coverage)
Nov18_Center_pre.json,Mamdani’s plan to kill gifted education won't fix inequality. It will deepen it. | Opinion,"It is no longer enough to give equal opportunities to every student, as the 14th Amendment to the U.S. Constitution requires.",Mayoral Election (analysis)
Nov18_Center_pre.json,Mamdani aims to keep control while Cuomo angles for GOP votes ahead of final debate,New York City’s mayoral candidates are set to meet for their final debate,Mayoral Election (analysis)
Nov18_Center_pre.json,Eric Adams to endorse once bitter rival Andrew Cuomo in New York City's mayoral race,New York City Mayor Eric Adams is set to endorse former Gov. Andrew Cuomo in the city’s mayoral race,Democrat Party Politics
Nov18_Center_pre.json,Early voting begins in NYC mayor's race and contest to pick NJ's next governor,Polling places open Saturday for in-person voting in two of the year’s most closely watched elections: The New York City mayor’s race and the contest to pick New Jersey’s next governor,Mayoral Election (coverage)
Nov18_Center_pre.json,Mamdani aims to keep control while Cuomo angles for GOP votes ahead of final NYC mayoral debate,New York City’s mayoral candidates are set to meet for their final debate,Mayoral Election (analysis)
Nov18_Center_pre.json,"Cuomo hasn't condemned bigoted attacks on Mamdani. In 1977 race, his father took another approach","As New York City's mayor's race enters its final stretch, there are echoes and contrasts to another famously bitter city election in 1977",Racism
